feature,horizon,n_days,mean_ic,median_ic,icir,pos_ic_ratio,t_raw,t_nw,ci95_low,ci95_high
F_INST_06_value_proxy_rank,1,489,0.0019701912013713224,-0.000960407212934999,0.01005219648011847,0.4948875255623722,0.2222876826156347,0.2183392615918428,-0.01571593050910011,0.019656312911842753
F_INST_06_value_proxy_rank,2,488,0.007317238810351672,0.0011529256213193362,0.03878434301177678,0.5102459016393442,0.8567741407589968,0.843169537961454,-0.009692137622961696,0.02432661524366504
F_INST_06_value_proxy_rank,3,487,0.007052969686988615,0.00931594996546949,0.036560732383182554,0.5174537987679672,0.8068250387885938,0.7662316094784718,-0.010988338470353964,0.025094277844331193
F_INST_06_value_proxy_rank,5,485,0.01562787870044865,0.00773109243697479,0.08072578014324898,0.5154639175257731,1.7778008932869969,1.4283871005900954,-0.005816337814965985,0.037072095215863285
F_INST_09_change_rate_rank,1,480,-0.009737666211981078,-0.016806923881237217,-0.054500049879462026,0.46875,-1.1940362681655226,-1.1690166405963367,-0.026064059791585627,0.006588727367623472
F_INST_09_change_rate_rank,2,479,-0.003578958850383861,-0.01310924369747899,-0.0200091126644906,0.47390396659707723,-0.43792081296521324,-0.41846930429899953,-0.020341859437568312,0.01318394173680059
F_INST_09_change_rate_rank,3,478,-0.008356094823961959,-0.012749864120806491,-0.044846449198424086,0.4665271966527197,-0.9804873863175733,-0.9305827553250904,-0.025955761012966243,0.009243571365042325
F_INST_09_change_rate_rank,5,476,0.0006982612514522931,0.003745534517635529,0.0036600887427032805,0.5105042016806722,0.07985370881633815,0.07343663167931033,-0.01793810620645325,0.019334628709357832
F_INST_07_flow_to_volume,1,489,0.002981974656245542,0.0059065043595502445,0.015466278288038798,0.5030674846625767,0.3420111381762537,0.329747506130579,-0.014742709283977466,0.02070665859646855
F_INST_07_flow_to_volume,2,488,0.009197460470276028,0.011406453176148927,0.04806241495389654,0.5245901639344263,1.0617334490472938,0.988219276299204,-0.00904446513681257,0.027439386077364625
F_INST_07_flow_to_volume,3,487,0.006049542679030791,-0.001680672268907563,0.03165114536389773,0.49691991786447637,0.6984798969092001,0.6115598125727579,-0.013338754928392028,0.02543784028645361
F_INST_07_flow_to_volume,5,485,0.022180014458345266,0.021945304815564726,0.11197856085885574,0.5381443298969072,2.466071992994106,1.9832348152912853,0.0002598525071888687,0.04410017640950166
F_INST_08_streak,1,489,0.0026054041500904643,-0.008441497866549014,0.013513475092067424,0.4867075664621677,0.29882812858273583,0.3099051073973617,-0.013872517679153913,0.01908332597933484
F_INST_08_streak,2,488,0.007232062518839817,0.008102169109058244,0.03740858476123368,0.514344262295082,0.8263826476597519,0.7163277733175712,-0.01255614487018442,0.02702026990786405
F_INST_08_streak,3,487,0.01070494657346951,0.01574195212251562,0.05685512793421594,0.5318275154004107,1.2546833121416026,0.974988171711058,-0.010815001968242905,0.03222489511518192
F_INST_08_streak,5,485,0.023654959392917493,0.013194387112845913,0.12341768656736755,0.5175257731958763,2.7179926045623954,1.7658052007043952,-0.002601459147260888,0.04991137793309587
F_INT_01_flow_x_momentum,1,469,0.01873121011122986,0.01782068874640468,0.08311207114486363,0.5330490405117271,1.7999089081186255,1.8297707051941479,-0.0013331464301626177,0.038795566652622335
F_INT_01_flow_x_momentum,2,468,0.029297460294010095,0.032427305733792225,0.12941517503967628,0.5641025641025641,2.7996782965722016,2.3219471175614603,0.004566913356935057,0.05402800723108513
F_INT_01_flow_x_momentum,3,467,0.026333482170005317,0.02588421735805118,0.11725500749818211,0.5546038543897216,2.5339021444892484,1.8031710191783223,-0.002290328053347744,0.05495729239335838
F_INT_01_flow_x_momentum,5,465,0.044432017927724506,0.054121545385016095,0.19439714596632668,0.6021505376344086,4.191952578134895,2.5729032507469767,0.010584357657927493,0.07827967819752152
F_INT_02_flow_x_size,1,489,0.009424693606800625,0.007302777819878333,0.04690501989367866,0.5173824130879345,1.0372268584112663,1.0931526649842884,-0.0074735860763895726,0.026322973289990823
F_INT_02_flow_x_size,2,488,0.02078056506269433,0.03120236534282829,0.10277830338581585,0.5512295081967213,2.270446931260672,2.0307880986085434,0.0007243575485828234,0.04083677257680583
F_INT_02_flow_x_size,3,487,0.01585248776407369,0.026219746476640222,0.08173593991460452,0.5318275154004107,1.8037549740758891,1.3781063342655553,-0.006693577982110746,0.03839855351025813
F_INT_02_flow_x_size,5,485,0.022959932018742035,0.034383403804531865,0.11731225484400931,0.5505154639175258,2.5835344184361295,1.6756358054789762,-0.0038964210202590797,0.049816285057743145
F_INT_03_flow_x_liquidity,1,480,0.018733786952557892,0.03152369573367092,0.07447852126497698,0.5291666666666667,1.6317426458582436,1.6566891654904956,-0.0034298290062283847,0.040897402911344166
F_INT_03_flow_x_liquidity,2,479,0.040684473351728465,0.03832392854222926,0.15966293050768854,0.5615866388308977,3.4943938544770723,2.9072784196517087,0.013256220443312212,0.06811272626014472
F_INT_03_flow_x_liquidity,3,478,0.04228310728941326,0.03933151777805545,0.16982709392244583,0.5732217573221757,3.712965606467217,2.6243941003549907,0.010704431557731098,0.07386178302109542
F_INT_03_flow_x_liquidity,5,476,0.06108300096351802,0.06966806278363606,0.24956264808089287,0.5819327731092437,5.444814164961211,3.1811816881055783,0.023448343900031893,0.09871765802700415
