date,stock_id,buy,name,sell
2024-09-09,2885,285000,Dealer_self,208000
2024-09-09,2885,711000,Dealer_Hedging,138009
2024-09-10,2885,0,Foreign_Dealer_Self,0
2024-09-10,2885,672634,Investment_Trust,177
2024-09-10,2885,58767,Dealer_self,58846
2024-09-10,2885,728995,Dealer_Hedging,36000
2024-09-10,2885,16204120,Foreign_Investor,9341007
2024-09-11,2885,5107100,Foreign_Investor,9963132
2024-09-11,2885,0,Foreign_Dealer_Self,0
2024-09-11,2885,1891690,Investment_Trust,0
2024-09-11,2885,87000,Dealer_self,84707
2024-09-11,2885,314669,Dealer_Hedging,40428
2024-09-12,2885,0,Foreign_Dealer_Self,0
2024-09-12,2885,730639,Investment_Trust,26177
2024-09-12,2885,45000,Dealer_self,40896
2024-09-12,2885,191000,Dealer_Hedging,5000
2024-09-12,2885,9655000,Foreign_Investor,13978550
2024-09-13,2885,0,Foreign_Dealer_Self,0
2024-09-13,2885,564280,Investment_Trust,0
2024-09-13,2885,52420,Dealer_self,24000
2024-09-13,2885,234000,Dealer_Hedging,16000
2024-09-13,2885,6736528,Foreign_Investor,5936625
2024-09-16,2885,0,Foreign_Dealer_Self,0
2024-09-16,2885,718000,Investment_Trust,1000089
2024-09-16,2885,9000,Dealer_self,32444
2024-09-16,2885,205000,Dealer_Hedging,29000
2024-09-16,2885,3842200,Foreign_Investor,3147729
2024-09-18,2885,5306080,Foreign_Investor,8201733
2024-09-18,2885,0,Foreign_Dealer_Self,0
2024-09-18,2885,546000,Investment_Trust,1036000
2024-09-18,2885,200000,Dealer_self,149418
2024-09-18,2885,582000,Dealer_Hedging,89923
2024-09-19,2885,8306244,Foreign_Investor,4842341
2024-09-19,2885,0,Foreign_Dealer_Self,0
2024-09-19,2885,479640,Investment_Trust,2502000
2024-09-19,2885,122000,Dealer_self,20522
2024-09-19,2885,144000,Dealer_Hedging,99996
2024-09-20,2885,12385559,Foreign_Investor,15934449
2024-09-20,2885,0,Foreign_Dealer_Self,0
2024-09-20,2885,4531640,Investment_Trust,84900
2024-09-20,2885,1000,Dealer_self,4879
2024-09-20,2885,89000,Dealer_Hedging,20000
2024-09-23,2885,4252902,Foreign_Investor,8404980
2024-09-23,2885,0,Foreign_Dealer_Self,0
2024-09-23,2885,4879000,Investment_Trust,26000
2024-09-23,2885,4000,Dealer_self,8600
2024-09-23,2885,276000,Dealer_Hedging,73000
2024-09-24,2885,8033977,Foreign_Investor,13150488
2024-09-24,2885,0,Foreign_Dealer_Self,0
2024-09-24,2885,4756920,Investment_Trust,64000
2024-09-24,2885,3000,Dealer_self,5084
2024-09-24,2885,298000,Dealer_Hedging,7999
2024-09-25,2885,12958462,Foreign_Investor,14992169
2024-09-25,2885,0,Foreign_Dealer_Self,0
2024-09-25,2885,4594000,Investment_Trust,6000
2024-09-25,2885,63201,Dealer_self,4000
2024-09-25,2885,41000,Dealer_Hedging,117600
2024-09-26,2885,6793097,Foreign_Investor,13542926
2024-09-26,2885,0,Foreign_Dealer_Self,0
2024-09-26,2885,4711000,Investment_Trust,13375
2024-09-26,2885,181000,Dealer_self,36803
2024-09-26,2885,260000,Dealer_Hedging,30533
2024-09-27,2885,9207262,Foreign_Investor,8336602
2024-09-27,2885,0,Foreign_Dealer_Self,0
2024-09-27,2885,360220,Investment_Trust,15000
2024-09-27,2885,67000,Dealer_self,55007
2024-09-27,2885,58000,Dealer_Hedging,20000
2024-09-30,2885,12584413,Foreign_Investor,12340218
2024-09-30,2885,0,Foreign_Dealer_Self,0
2024-09-30,2885,433287,Investment_Trust,132179
2024-09-30,2885,80,Dealer_self,17780
2024-09-30,2885,618000,Dealer_Hedging,26000
2024-10-01,2885,7478000,Foreign_Investor,10317389
2024-10-01,2885,0,Foreign_Dealer_Self,0
2024-10-01,2885,1047568,Investment_Trust,88000
2024-10-01,2885,10000,Dealer_self,18755
2024-10-01,2885,1553000,Dealer_Hedging,65216
2024-10-04,2885,0,Foreign_Dealer_Self,0
2024-10-04,2885,639924,Investment_Trust,170000
2024-10-04,2885,14000,Dealer_self,114254
2024-10-04,2885,2267000,Dealer_Hedging,42000
2024-10-04,2885,16086191,Foreign_Investor,15783162
2024-10-07,2885,13293092,Foreign_Investor,12298326
2024-10-07,2885,0,Foreign_Dealer_Self,0
2024-10-07,2885,1457669,Investment_Trust,0
2024-10-07,2885,289000,Dealer_self,16826
2024-10-07,2885,1173334,Dealer_Hedging,5000
2024-10-08,2885,0,Foreign_Dealer_Self,0
2024-10-08,2885,1118190,Investment_Trust,2000
2024-10-08,2885,43000,Dealer_self,216156
2024-10-08,2885,1412000,Dealer_Hedging,82000
2024-10-08,2885,11821945,Foreign_Investor,15775370
2024-10-09,2885,4935627,Foreign_Investor,5939682
2024-10-09,2885,0,Foreign_Dealer_Self,0
2024-10-09,2885,100000,Dealer_self,0
2024-10-09,2885,523425,Dealer_Hedging,16358
2024-10-09,2885,398729,Investment_Trust,73000
2024-10-11,2885,0,Foreign_Dealer_Self,0
2024-10-11,2885,165504,Investment_Trust,0
2024-10-11,2885,19000,Dealer_self,19066
2024-10-11,2885,710000,Dealer_Hedging,12000
2024-10-11,2885,6105068,Foreign_Investor,9314903
2024-10-14,2885,5932197,Foreign_Investor,7713278
2024-10-14,2885,0,Foreign_Dealer_Self,0
2024-10-14,2885,990207,Investment_Trust,0
2024-10-14,2885,63000,Dealer_self,0
2024-10-14,2885,1125000,Dealer_Hedging,12000
2024-10-15,2885,20538700,Foreign_Investor,7816769
2024-10-15,2885,0,Foreign_Dealer_Self,0
2024-10-15,2885,508252,Investment_Trust,0
2024-10-15,2885,292000,Dealer_self,0
2024-10-15,2885,833498,Dealer_Hedging,66000
2024-10-16,2885,9354625,Foreign_Investor,11285985
2024-10-16,2885,0,Foreign_Dealer_Self,0
2024-10-16,2885,724346,Investment_Trust,3232000
2024-10-16,2885,80000,Dealer_self,28000
2024-10-16,2885,3630588,Dealer_Hedging,203000
2024-10-17,2885,10375404,Foreign_Investor,9500686
2024-10-17,2885,0,Foreign_Dealer_Self,0
2024-10-17,2885,780835,Investment_Trust,1121000
2024-10-17,2885,156000,Dealer_self,18000
2024-10-17,2885,1891000,Dealer_Hedging,170000
2024-10-18,2885,20566977,Foreign_Investor,2554160
2024-10-18,2885,0,Foreign_Dealer_Self,0
2024-10-18,2885,2011288,Investment_Trust,1711000
2024-10-18,2885,474070,Dealer_self,70000
2024-10-18,2885,608970,Dealer_Hedging,285291
2024-10-21,2885,4037076,Foreign_Investor,13539120
2024-10-21,2885,0,Foreign_Dealer_Self,0
2024-10-21,2885,2672386,Investment_Trust,1384000
2024-10-21,2885,431000,Dealer_self,125709
2024-10-21,2885,138000,Dealer_Hedging,402810
2024-10-22,2885,8455000,Foreign_Investor,7569840
2024-10-22,2885,0,Foreign_Dealer_Self,0
2024-10-22,2885,6269174,Investment_Trust,2236000
2024-10-22,2885,18000,Dealer_self,136000
2024-10-22,2885,65997,Dealer_Hedging,124000
2024-10-23,2885,4044737,Foreign_Investor,8859000
2024-10-23,2885,0,Foreign_Dealer_Self,0
2024-10-23,2885,942940,Investment_Trust,810633
2024-10-23,2885,42000,Dealer_self,3355
2024-10-23,2885,810000,Dealer_Hedging,252873
2024-10-24,2885,4949643,Foreign_Investor,5323583
2024-10-24,2885,0,Foreign_Dealer_Self,0
2024-10-24,2885,775558,Investment_Trust,28000
2024-10-24,2885,0,Dealer_self,59000
2024-10-24,2885,1367000,Dealer_Hedging,158000
2024-10-25,2885,4458639,Foreign_Investor,2384681
2024-10-25,2885,0,Foreign_Dealer_Self,0
2024-10-25,2885,424929,Investment_Trust,617000
2024-10-25,2885,22000,Dealer_self,0
2024-10-25,2885,320500,Dealer_Hedging,12092
2024-10-28,2885,5248246,Foreign_Investor,6518300
2024-10-28,2885,0,Foreign_Dealer_Self,0
2024-10-28,2885,1644573,Investment_Trust,387000
2024-10-28,2885,112000,Dealer_self,720
2024-10-28,2885,486000,Dealer_Hedging,58000
2024-10-29,2885,4666150,Foreign_Investor,10086218
2024-10-29,2885,0,Foreign_Dealer_Self,0
2024-10-29,2885,11000,Dealer_self,219594
2024-10-29,2885,1935000,Dealer_Hedging,69104
2024-10-29,2885,2869786,Investment_Trust,6000
2024-10-30,2885,0,Foreign_Dealer_Self,0
2024-10-30,2885,1555498,Investment_Trust,0
2024-10-30,2885,52000,Dealer_self,56946
2024-10-30,2885,896000,Dealer_Hedging,13000
2024-10-30,2885,9049366,Foreign_Investor,13194402
2024-11-01,2885,14448187,Foreign_Investor,22057741
2024-11-01,2885,0,Foreign_Dealer_Self,0
2024-11-01,2885,1975000,Investment_Trust,6000
2024-11-01,2885,207000,Dealer_self,427905
2024-11-01,2885,1417000,Dealer_Hedging,156683
2024-11-04,2885,7305160,Foreign_Investor,6454428
2024-11-04,2885,0,Foreign_Dealer_Self,0
2024-11-04,2885,1912000,Investment_Trust,0
2024-11-04,2885,19000,Dealer_self,1000
2024-11-04,2885,457488,Dealer_Hedging,259428
2024-11-05,2885,3809125,Foreign_Investor,4244001
2024-11-05,2885,0,Foreign_Dealer_Self,0
2024-11-05,2885,1310000,Investment_Trust,1099969
2024-11-05,2885,15000,Dealer_self,71147
2024-11-05,2885,260000,Dealer_Hedging,113209
2024-11-06,2885,6543100,Foreign_Investor,9601953
2024-11-06,2885,0,Foreign_Dealer_Self,0
2024-11-06,2885,419000,Investment_Trust,1322000
2024-11-06,2885,39000,Dealer_self,43058
2024-11-06,2885,169000,Dealer_Hedging,92000
2024-11-07,2885,6657861,Foreign_Investor,9371766
2024-11-07,2885,0,Foreign_Dealer_Self,0
2024-11-07,2885,585000,Investment_Trust,1341218
2024-11-07,2885,11400,Dealer_self,7372
2024-11-07,2885,166999,Dealer_Hedging,68000
2024-11-08,2885,11536823,Foreign_Investor,4695908
2024-11-08,2885,0,Foreign_Dealer_Self,0
2024-11-08,2885,848000,Investment_Trust,6000
2024-11-08,2885,10000,Dealer_self,0
2024-11-08,2885,204100,Dealer_Hedging,168857
2024-11-11,2885,3025000,Foreign_Investor,5859140
2024-11-11,2885,0,Foreign_Dealer_Self,0
2024-11-11,2885,1606000,Investment_Trust,0
2024-11-11,2885,12000,Dealer_self,29639
2024-11-11,2885,666000,Dealer_Hedging,175000
2024-11-12,2885,12951593,Foreign_Investor,17103750
2024-11-12,2885,0,Foreign_Dealer_Self,0
2024-11-12,2885,3749000,Investment_Trust,15000
2024-11-12,2885,73000,Dealer_self,84632
2024-11-12,2885,2125000,Dealer_Hedging,17000
2024-11-13,2885,7296293,Foreign_Investor,16733687
2024-11-13,2885,0,Foreign_Dealer_Self,0
2024-11-13,2885,4464000,Investment_Trust,9000
2024-11-13,2885,56000,Dealer_self,446126
2024-11-13,2885,1290000,Dealer_Hedging,569276
2024-11-14,2885,8483505,Foreign_Investor,13439033
2024-11-14,2885,0,Foreign_Dealer_Self,0
2024-11-14,2885,5247000,Investment_Trust,1000
2024-11-14,2885,14000,Dealer_self,195989
2024-11-14,2885,2209000,Dealer_Hedging,385000
2024-11-15,2885,15198168,Foreign_Investor,8239115
2024-11-15,2885,0,Foreign_Dealer_Self,0
2024-11-15,2885,1108000,Investment_Trust,6943065
2024-11-15,2885,74000,Dealer_self,40944
2024-11-15,2885,1048283,Dealer_Hedging,379000
2024-11-18,2885,5876195,Foreign_Investor,7666184
2024-11-18,2885,0,Foreign_Dealer_Self,0
2024-11-18,2885,753000,Investment_Trust,0
2024-11-18,2885,311000,Dealer_self,267735
2024-11-18,2885,2095000,Dealer_Hedging,553094
2024-11-19,2885,29133240,Foreign_Investor,7271413
2024-11-19,2885,0,Foreign_Dealer_Self,0
2024-11-19,2885,536000,Investment_Trust,72000
2024-11-19,2885,300143,Dealer_self,34000
2024-11-19,2885,977680,Dealer_Hedging,271000
2024-11-20,2885,13255000,Foreign_Investor,12383739
2024-11-20,2885,0,Foreign_Dealer_Self,0
2024-11-20,2885,80000,Dealer_self,68000
2024-11-20,2885,1707000,Dealer_Hedging,333584
2024-11-20,2885,500000,Investment_Trust,5919507
2024-11-21,2885,10041016,Foreign_Investor,12082692
2024-11-21,2885,0,Foreign_Dealer_Self,0
2024-11-21,2885,702000,Investment_Trust,140000
2024-11-21,2885,79000,Dealer_self,142000
2024-11-21,2885,399855,Dealer_Hedging,213000
2024-11-22,2885,8420282,Foreign_Investor,8510118
2024-11-22,2885,0,Foreign_Dealer_Self,0
2024-11-22,2885,381000,Investment_Trust,20000
2024-11-22,2885,273000,Dealer_self,0
2024-11-22,2885,297000,Dealer_Hedging,132499
2024-11-25,2885,0,Foreign_Dealer_Self,0
2024-11-25,2885,377000,Investment_Trust,2128782
2024-11-25,2885,247000,Dealer_self,4432
2024-11-25,2885,342000,Dealer_Hedging,15000
2024-11-25,2885,49859144,Foreign_Investor,49403857
2024-11-26,2885,14814000,Foreign_Investor,9600343
