batch_id,dataset,stock_id,http_status,error,queued_at
9,TaiwanStockPER,910322,200,,2026-08-01T23:30:55.516814
9,TaiwanStockPER,9105,200,,2026-08-01T23:30:56.410253
9,TaiwanStockPER,910861,200,,2026-08-01T23:30:57.163653
9,TaiwanStockPER,9110,200,,2026-08-01T23:30:58.175428
9,TaiwanStockPER,911608,200,,2026-08-01T23:30:58.916016
9,TaiwanStockPER,911622,200,,2026-08-01T23:30:59.737544
9,TaiwanStockPER,911868,200,,2026-08-01T23:31:00.473339
9,TaiwanStockPER,912000,200,,2026-08-01T23:31:01.238298
9,TaiwanStockPER,9136,200,,2026-08-01T23:31:02.205025
9,TaiwanStockPER,9103,200,,2026-08-02T00:36:03.195430
9,TaiwanStockPER,910322,200,,2026-08-02T00:36:04.120660
9,TaiwanStockPER,9105,200,,2026-08-02T00:36:05.463890
9,TaiwanStockPER,910861,200,,2026-08-02T00:36:06.565315
9,TaiwanStockPER,9110,200,,2026-08-02T00:36:08.244169
9,TaiwanStockPER,911608,200,,2026-08-02T00:36:09.081487
9,TaiwanStockPER,911622,200,,2026-08-02T00:36:10.456671
9,TaiwanStockPER,911868,200,,2026-08-02T00:36:11.667114
9,TaiwanStockPER,912000,200,,2026-08-02T00:36:12.912585
9,TaiwanStockPER,9136,200,,2026-08-02T00:36:13.743472
9,TaiwanStockPER,9103,200,,2026-08-02T01:41:14.992417
9,TaiwanStockPER,910322,200,,2026-08-02T01:41:16.126803
9,TaiwanStockPER,9105,200,,2026-08-02T01:41:17.092745
9,TaiwanStockPER,910861,200,,2026-08-02T01:41:18.107080
9,TaiwanStockPER,9110,200,,2026-08-02T01:41:18.854997
9,TaiwanStockPER,911608,200,,2026-08-02T01:41:19.710154
9,TaiwanStockPER,911622,200,,2026-08-02T01:41:20.488875
9,TaiwanStockPER,911868,200,,2026-08-02T01:41:21.291889
9,TaiwanStockPER,912000,200,,2026-08-02T01:41:22.195414
9,TaiwanStockPER,9136,200,,2026-08-02T01:41:23.054359
9,TaiwanStockPER,9103,200,,2026-08-02T02:46:24.291242
9,TaiwanStockPER,910322,200,,2026-08-02T02:46:25.189099
9,TaiwanStockPER,9105,200,,2026-08-02T02:46:26.239080
9,TaiwanStockPER,910861,200,,2026-08-02T02:46:27.081629
9,TaiwanStockPER,9110,200,,2026-08-02T02:46:27.833819
9,TaiwanStockPER,911608,200,,2026-08-02T02:46:28.821181
9,TaiwanStockPER,911622,200,,2026-08-02T02:46:29.596140
9,TaiwanStockPER,911868,200,,2026-08-02T02:46:30.475031
9,TaiwanStockPER,912000,200,,2026-08-02T02:46:31.327778
9,TaiwanStockPER,9136,200,,2026-08-02T02:46:32.228647
10,TaiwanStockInstitutionalInvestorsBuySell,3162,402,,2026-08-02T06:04:01.253690
11,TaiwanStockInstitutionalInvestorsBuySell,3548,402,,2026-08-02T07:20:10.970388
12,TaiwanStockInstitutionalInvestorsBuySell,4513,402,,2026-08-02T08:00:00.927347
12,TaiwanStockInstitutionalInvestorsBuySell,4513,402,,2026-08-02T08:43:01.360229
12,TaiwanStockInstitutionalInvestorsBuySell,4513,402,,2026-08-02T08:43:21.814074
13,TaiwanStockPrice,5287,402,,2026-08-02T09:42:22.057344
13,TaiwanStockPrice,5287,402,,2026-08-02T09:54:22.465070
13,TaiwanStockPrice,5287,402,,2026-08-02T10:06:22.966828
13,TaiwanStockPrice,5287,402,,2026-08-02T10:18:23.344775
13,TaiwanStockPER,5309,402,,2026-08-02T10:30:42.394645
