stock_id,date,F_INST_01_foreign,F_INST_02_trust,F_INST_03_dealer_self,F_INST_04_dealer_hedge,F_INST_05_aggregate,F_INST_06_value_proxy,F_INST_07_flow_to_volume,F_INST_08_streak,F_INST_09_change_rate,F_INT_01_flow_x_momentum,F_INT_02_flow_x_size,F_INT_03_flow_x_liquidity,F_INST_01_foreign_rank,F_INST_02_trust_rank,F_INST_03_dealer_self_rank,F_INST_04_dealer_hedge_rank,F_INST_05_aggregate_rank,F_INST_06_value_proxy_rank,F_INST_09_change_rate_rank,version,build_date
1101,2024-08-16,2390200,478506,289000,271000,3428706,112632992.10000001,0.21666407793346548,1,0.22472987729147534,0.3952,0.2432,0.1368,0.7,0.7,0.84,0.86,0.76,0.42,0.22,v0.1,2026-07-11T07:49:09Z
1101,2024-08-19,-899921,-36484,-248000,-196000,-1380405,-45139243.50000001,-0.13045693405767983,-1,-1.5932768574835228,0.1092,0.08320000000000001,0.052000000000000005,0.32,0.26,0.3,0.16,0.26,0.46,0.32,v0.1,2026-07-11T07:49:09Z
1101,2024-08-20,647753,39892,-201998,-167018,318629,10451031.2,0.04254169501075128,1,-0.8638825506455752,0.2376,0.21120000000000003,0.132,0.7,0.42,0.3,0.06,0.66,0.6,0.38,v0.1,2026-07-11T07:49:09Z
1101,2024-08-21,-271628,279946,1000,-44000,-34682,-1137569.5999999999,-0.004675445338123187,-1,-1.0161055456094892,0.17279999999999998,0.1632,0.08639999999999999,0.3,0.74,0.92,0.54,0.48,0.52,0.26,v0.1,2026-07-11T07:49:09Z
1101,2024-08-22,-92000,289146,-7000,-26329,163817,5414151.85,0.019615175349612,1,-0.9024051535216734,0.192,0.1632,0.08639999999999999,0.36,0.82,0.54,0.38,0.48,0.42,0.16,v0.1,2026-07-11T07:49:09Z
1101,2024-08-23,305501,526346,47749,-13998,865598,28521454.1,0.13196588149631605,2,-0.5103405720430069,0.182,0.22399999999999998,0.11199999999999999,0.64,0.86,0.86,0.28,0.7,0.58,0.38,v0.1,2026-07-11T07:49:09Z
1101,2024-08-26,3446966,102946,-51000,97472,3596384,119220129.6,0.46222242786096507,3,1.1538331441444452,0.1872,0.26520000000000005,0.10920000000000002,0.8,0.64,0.32,0.74,0.78,0.64,0.66,v0.1,2026-07-11T07:49:09Z
1101,2024-08-27,-652252,478946,-80000,-167715,-421021,-13914744.049999999,-0.06866033729298351,-1,-1.2604700488923057,0.1056,0.1408,0.06160000000000001,0.38,0.82,0.38,0.22,0.44,0.58,0.32,v0.1,2026-07-11T07:49:09Z
1101,2024-08-28,-1243392,611556,30153,-10000,-611683,-20124370.7,-0.07815331251742431,-2,-1.4308625329997255,0.078,0.10200000000000001,0.048,0.22,0.82,0.76,0.36,0.3,0.48,0.32,v0.1,2026-07-11T07:49:09Z
1101,2024-08-29,3259781,514408,-72000,96000,3798189,125150327.55000001,0.37747605710397847,1,1.3321541947551492,0.3528,0.3332,0.196,0.96,0.8,0.36,0.86,0.98,0.78,0.66,v0.1,2026-07-11T07:49:09Z
1101,2024-08-30,732302,329506,97000,-127000,1031808,33998073.6,0.06757329972900815,2,-0.3564191684679524,0.132,0.20400000000000001,0.096,0.6,0.7,0.68,0.12,0.6,0.5,0.4,v0.1,2026-07-11T07:49:09Z
1101,2024-09-02,-875070,18298,75000,-47000,-828772,-27142283.0,-0.1128995191663898,-1,-1.7284207190136842,0.0528,0.1408,0.0704,0.42,0.46,0.82,0.28,0.44,0.58,0.4,v0.1,2026-07-11T07:49:09Z
1101,2024-09-03,-5503970,373202,-17572,-77763,-5226103,-168019211.45,-0.3083163298596415,-2,-19.209548186668233,0.021599999999999998,0.0576,0.0252,0.14,0.68,0.32,0.22,0.18,0.34,0.06,v0.1,2026-07-11T07:49:09Z
1101,2024-09-04,-3000523,2110222,-639301,-105863,-1635465,-51926013.75,-0.06334384090258403,-3,-6.826873488583376,0.12,0.22799999999999998,0.084,0.54,0.78,0.36,0.34,0.6,0.8,0.3,v0.1,2026-07-11T07:49:09Z
1101,2024-09-05,-2981485,757299,-358699,-81816,-2664701,-84071316.55,-0.2571287413896835,-4,-9.60889128826696,0.036,0.11399999999999999,0.042,0.3,0.78,0.3,0.28,0.3,0.46,0.14,v0.1,2026-07-11T07:49:09Z
1101,2024-09-06,1387531,924082,-80380,-4353,2226880,70703440.0,0.2651363888882936,1,5.482535637525093,0.1152,0.2736,0.1008,0.72,0.82,0.38,0.5,0.72,0.42,0.9,v0.1,2026-07-11T07:49:09Z
1101,2024-09-09,-75292,1480913,-184125,17068,1238564,39076694.2,0.09405201304950761,2,3.8466060831713023,0.216,0.342,0.108,0.78,0.76,0.2,0.7,0.9,0.76,1.0,v0.1,2026-07-11T07:49:09Z
1101,2024-09-10,330645,366299,23914,-45000,675858,21255734.099999998,0.09265779469244448,3,2.7120408483526184,0.18480000000000002,0.2508,0.0792,0.7,0.72,0.7,0.36,0.66,0.54,0.88,v0.1,2026-07-11T07:49:09Z
1101,2024-09-11,-2964000,1199430,38561,-43265,-1769274,-55378276.2,-0.21363468909374841,-1,-14.347549955304688,0.0704,0.0608,0.0096,0.16,0.78,0.48,0.22,0.16,0.36,0.04,v0.1,2026-07-11T07:49:09Z
1101,2024-09-12,2042041,235096,173262,112251,2562650,80723475.0,0.27621016352948013,1,8.606976749852905,0.2592,0.2736,0.043199999999999995,0.7,0.7,0.54,0.6,0.72,0.36,0.88,v0.1,2026-07-11T07:49:09Z
1101,2024-09-13,4029700,346411,-27695,103000,4451416,141555028.8,0.44130747651330476,2,13.003256215664598,0.47040000000000004,0.3192,0.05039999999999999,0.84,0.72,0.3,0.86,0.84,0.66,0.94,v0.1,2026-07-11T07:49:09Z
1101,2024-09-16,2763000,439946,18000,-39427,3181519,102444911.80000001,0.307005393767408,3,4.827165454886625,0.5940000000000001,0.36000000000000004,0.054,0.98,0.74,0.58,0.26,0.9,0.66,0.94,v0.1,2026-07-11T07:49:09Z
1101,2024-09-18,289300,311000,-220943,-70000,309357,9930359.700000001,0.047530556532042564,4,-0.43291037977830016,0.372,0.248,0.0372,0.66,0.6,0.24,0.36,0.62,0.6,0.42,v0.1,2026-07-11T07:49:09Z
1101,2024-09-19,515200,114205,133883,45000,808288,26026873.6,0.08733103198655927,5,0.375422019450012,0.324,0.22799999999999998,0.036,0.54,0.6,0.48,0.62,0.6,0.4,0.34,v0.1,2026-07-11T07:49:09Z
1101,2024-09-20,1387817,1314436,17000,-42000,2677253,86475271.89999999,0.23562933314135068,6,2.753137804033085,0.38480000000000003,0.296,0.044399999999999995,0.66,0.76,0.52,0.24,0.74,0.52,0.8,v0.1,2026-07-11T07:49:09Z
1101,2024-09-23,-698429,285000,212000,42000,-159429,-5133613.800000001,-0.016716977994329633,-1,-1.2407980595871322,0.1144,0.08360000000000001,0.0132,0.28,0.56,0.68,0.64,0.22,0.3,0.14,v0.1,2026-07-11T07:49:09Z
