stock_id,block_start,block_end,n_dates
1213,2013-01-02,2013-01-03,2
1213,2013-01-31,2013-02-01,2
1213,2013-02-26,2013-02-27,2
1213,2013-03-21,2013-03-22,2
1213,2013-03-11,2013-03-11,1
1213,2013-02-23,2013-02-23,1
1213,2013-01-22,2013-01-22,1
1213,2013-01-18,2013-01-18,1
1213,2013-01-11,2013-01-11,1
1213,2013-01-09,2013-01-09,1
1213,2013-01-07,2013-01-07,1
1213,2025-04-08,2025-04-08,1
1213,2025-03-28,2025-03-28,1
1213,2025-03-25,2025-03-25,1
1213,2025-01-03,2025-01-03,1
1213,2024-12-27,2024-12-27,1
1213,2012-08-24,2012-08-24,1
1213,2025-06-05,2025-06-05,1
1213,2025-06-03,2025-06-03,1
1213,2025-05-23,2025-05-23,1
1213,2025-05-14,2025-05-14,1
1213,2025-04-24,2025-04-24,1
1213,2012-07-19,2012-07-19,1
1213,2014-06-25,2014-06-25,1
1213,2014-06-19,2014-06-19,1
1213,2014-06-16,2014-06-16,1
1213,2014-05-22,2014-05-22,1
1213,2017-04-10,2017-04-10,1
1213,2017-04-06,2017-04-06,1
1213,2018-02-02,2018-02-02,1
1213,2018-01-22,2018-01-22,1
1213,2017-11-24,2017-11-24,1
1213,2017-11-16,2017-11-16,1
1213,2017-11-14,2017-11-14,1
1213,2018-07-11,2018-07-11,1
1213,2018-06-27,2018-06-27,1
1213,2018-11-13,2018-11-13,1
1213,2018-11-02,2018-11-02,1
1213,2018-10-31,2018-10-31,1
1213,2018-10-05,2018-10-05,1
1213,2016-11-23,2016-11-23,1
1213,2016-11-11,2016-11-11,1
1213,2017-06-27,2017-06-27,1
1213,2013-12-03,2013-12-03,1
1213,2013-11-20,2013-11-20,1
1213,2014-09-11,2014-09-11,1
1213,2014-09-09,2014-09-09,1
1213,2014-08-26,2014-08-26,1
1213,2014-12-03,2014-12-03,1
1213,2014-11-21,2014-11-21,1
1213,2014-11-13,2014-11-13,1
1213,2016-07-15,2016-07-15,1
1213,2017-02-09,2017-02-09,1
1213,2016-12-01,2016-12-01,1
1213,2016-11-29,2016-11-29,1
1213,2016-11-25,2016-11-25,1
1213,2013-08-15,2013-08-15,1
1213,2013-08-08,2013-08-08,1
1213,2013-08-06,2013-08-06,1
1213,2013-08-01,2013-08-01,1
1213,2014-02-11,2014-02-11,1
1213,2014-01-08,2014-01-08,1
1213,2013-12-27,2013-12-27,1
1213,2013-12-05,2013-12-05,1
1213,2018-08-08,2018-08-08,1
1213,2018-08-06,2018-08-06,1
1213,2018-08-02,2018-08-02,1
1213,2019-04-01,2019-04-01,1
1213,2019-02-13,2019-02-13,1
1213,2019-01-24,2019-01-24,1
1213,2019-01-22,2019-01-22,1
1213,2018-12-22,2018-12-22,1
1213,2018-12-18,2018-12-18,1
1213,2018-12-07,2018-12-07,1
1213,2016-10-05,2016-10-05,1
1213,2016-09-23,2016-09-23,1
1213,2014-03-31,2014-03-31,1
1213,2014-03-25,2014-03-25,1
1213,2014-03-20,2014-03-20,1
1213,2014-03-14,2014-03-14,1
1213,2014-03-06,2014-03-06,1
1213,2015-01-12,2015-01-12,1
1213,2014-12-30,2014-12-30,1
1213,2014-12-18,2014-12-18,1
1213,2014-12-12,2014-12-12,1
1213,2022-01-26,2022-01-26,1
1213,2021-01-15,2021-01-15,1
1213,2020-12-10,2020-12-10,1
1213,2013-05-13,2013-05-13,1
1213,2013-10-02,2013-10-02,1
1213,2013-09-30,2013-09-30,1
1213,2013-09-23,2013-09-23,1
1213,2013-08-26,2013-08-26,1
1213,2015-10-12,2015-10-12,1
1213,2015-10-06,2015-10-06,1
1213,2016-06-08,2016-06-08,1
1213,2016-04-18,2016-04-18,1
1213,2016-04-01,2016-04-01,1
1213,2016-03-14,2016-03-14,1
1213,2016-10-31,2016-10-31,1
1213,2013-08-19,2013-08-19,1
1213,2020-12-08,2020-12-08,1
1213,2020-11-30,2020-11-30,1
1213,2024-03-20,2024-03-20,1
1213,2024-01-15,2024-01-15,1
1213,2024-06-14,2024-06-14,1
1213,2024-06-12,2024-06-12,1
1213,2015-02-13,2015-02-13,1
1213,2015-02-11,2015-02-11,1
1213,2015-06-02,2015-06-02,1
1213,2015-05-29,2015-05-29,1
1213,2015-05-26,2015-05-26,1
1213,2015-05-18,2015-05-18,1
1213,2015-05-08,2015-05-08,1
1213,2015-11-24,2015-11-24,1
1213,2015-11-20,2015-11-20,1
1213,2024-06-07,2024-06-07,1
1213,2024-06-04,2024-06-04,1
1213,2024-05-27,2024-05-27,1
1213,2024-05-10,2024-05-10,1
1213,2024-04-19,2024-04-19,1
1213,2024-04-02,2024-04-02,1
1213,2024-10-16,2024-10-16,1
1213,2024-10-09,2024-10-09,1
1213,2015-07-01,2015-07-01,1
1213,2015-06-25,2015-06-25,1
1213,2014-09-29,2014-09-29,1
1213,2014-09-23,2014-09-23,1
1213,2014-09-18,2014-09-18,1
1213,2015-05-04,2015-05-04,1
1213,2015-04-10,2015-04-10,1
1213,2015-03-31,2015-03-31,1
1213,2015-03-10,2015-03-10,1
1213,2015-02-26,2015-02-26,1
1213,2024-08-30,2024-08-30,1
1213,2024-08-22,2024-08-22,1
1213,2024-08-20,2024-08-20,1
1213,2025-02-27,2025-02-27,1
1213,2025-02-19,2025-02-19,1
1213,2025-02-17,2025-02-17,1
1213,2025-02-12,2025-02-12,1
1213,2012-09-11,2012-09-11,1
1213,2015-01-30,2015-01-30,1
1213,2015-01-23,2015-01-23,1
1213,2015-01-19,2015-01-19,1
1213,2015-01-14,2015-01-14,1
1213,2015-08-26,2015-08-26,1
1213,2015-08-06,2015-08-06,1
1213,2015-07-30,2015-07-30,1
1213,2015-07-06,2015-07-06,1
1213,2025-01-17,2025-01-17,1
1213,2025-01-14,2025-01-14,1
1213,2025-01-09,2025-01-09,1
1213,2012-12-22,2012-12-22,1
1213,2012-10-31,2012-10-31,1
1213,2012-09-07,2012-09-07,1
1213,2013-07-04,2013-07-04,1
1213,2013-06-26,2013-06-26,1
1213,2013-06-06,2013-06-06,1
1213,2012-10-16,2012-10-16,1
1213,2025-07-02,2025-07-02,1
1213,2012-07-11,2012-07-11,1
1213,2012-07-04,2012-07-04,1
